use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct
UC1,std,DB1,512,1,precomp,0.001,0,0,0,false
UC1,std,DB1,512,1,setup,13.994,10019672,0,0,false
UC1,std,DB1,512,1,encrypt,16.276,6714128,0,0,false
UC1,std,DB1,512,1,eval,1.116,20085616,0,0,false
UC1,std,DB1,512,1,decrypt,4.658,-1177488,2097152,1,true
UC1,label,DB1,512,1,precomp,0.003,0,0,0,false
UC1,label,DB1,512,1,setup,14.079,5511400,0,0,false
UC1,label,DB1,512,1,encrypt,20.450,11306184,0,0,false
UC1,label,DB1,512,1,eval,1.729,20216296,0,0,false
UC1,label,DB1,512,1,decrypt,3.551,3418264,1048576,1,true
UC1,std,DB1,512,2,precomp,0.003,0,0,0,false
UC1,std,DB1,512,2,setup,13.242,10013408,0,0,false
UC1,std,DB1,512,2,encrypt,15.167,7257200,0,0,false
UC1,std,DB1,512,2,eval,1.498,20070160,0,0,false
UC1,std,DB1,512,2,decrypt,4.394,1186608,2097152,1,true
UC1,label,DB1,512,2,precomp,0.003,0,0,0,false
UC1,label,DB1,512,2,setup,11.729,10013392,0,0,false
UC1,label,DB1,512,2,encrypt,18.962,6055960,0,0,false
UC1,label,DB1,512,2,eval,1.657,20216280,0,0,false
UC1,label,DB1,512,2,decrypt,2.630,3417800,1048576,1,true
UC1,std,DB1,512,3,precomp,0.001,0,0,0,false
UC1,std,DB1,512,3,setup,14.552,9996136,0,0,false
UC1,std,DB1,512,3,encrypt,14.896,6714352,0,0,false
UC1,std,DB1,512,3,eval,1.417,20085616,0,0,false
UC1,std,DB1,512,3,decrypt,5.231,-1177488,2097152,1,true
UC1,label,DB1,512,3,precomp,0.003,0,0,0,false
UC1,label,DB1,512,3,setup,11.848,9996152,0,0,false
UC1,label,DB1,512,3,encrypt,18.265,11306184,0,0,false
UC1,label,DB1,512,3,eval,1.568,20216280,0,0,false
UC1,label,DB1,512,3,decrypt,3.910,3418248,1048576,1,true
UC1,std,DB1,512,4,precomp,0.003,0,0,0,false
UC1,std,DB1,512,4,setup,11.306,10013488,0,0,false
UC1,std,DB1,512,4,encrypt,15.367,7257200,0,0,false
UC1,std,DB1,512,4,eval,1.429,20085728,0,0,false
UC1,std,DB1,512,4,decrypt,4.806,1186384,2097152,1,true
UC1,label,DB1,512,4,precomp,0.003,0,0,0,false
UC1,label,DB1,512,4,setup,10.709,10013392,0,0,false
UC1,label,DB1,512,4,encrypt,18.523,6055960,0,0,false
UC1,label,DB1,512,4,eval,1.796,20216280,0,0,false
UC1,label,DB1,512,4,decrypt,3.826,3418040,1048576,1,true
UC1,std,DB1,512,5,precomp,0.003,0,0,0,false
UC1,std,DB1,512,5,setup,12.657,9996152,0,0,false
UC1,std,DB1,512,5,encrypt,16.262,7256992,0,0,false
UC1,std,DB1,512,5,eval,1.483,20085616,0,0,false
UC1,std,DB1,512,5,decrypt,4.599,-1177488,2097152,1,true
UC1,label,DB1,512,5,precomp,0.003,0,0,0,false
UC1,label,DB1,512,5,setup,13.053,5514280,0,0,false
UC1,label,DB1,512,5,encrypt,20.293,11306616,0,0,false
UC1,label,DB1,512,5,eval,1.612,20216392,0,0,false
UC1,label,DB1,512,5,decrypt,3.967,3418248,1048576,1,true
UC1,std,DB1,512,6,precomp,0.001,0,0,0,false
UC1,std,DB1,512,6,setup,11.314,10013392,0,0,false
UC1,std,DB1,512,6,encrypt,14.972,7257200,0,0,false
UC1,std,DB1,512,6,eval,1.549,20085616,0,0,false
UC1,std,DB1,512,6,decrypt,5.397,1186384,2097152,1,true
UC1,label,DB1,512,6,precomp,0.001,0,0,0,false
UC1,label,DB1,512,6,setup,13.800,5514600,0,0,false
UC1,label,DB1,512,6,encrypt,17.842,11306904,0,0,false
UC1,label,DB1,512,6,eval,1.896,20216280,0,0,false
UC1,label,DB1,512,6,decrypt,2.672,3418248,1048576,1,true
UC1,std,DB1,512,7,precomp,0.003,0,0,0,false
UC1,std,DB1,512,7,setup,12.650,9996136,0,0,false
UC1,std,DB1,512,7,encrypt,15.971,7257200,0,0,false
UC1,std,DB1,512,7,eval,1.508,20085616,0,0,false
UC1,std,DB1,512,7,decrypt,4.605,1186608,2097152,1,true
UC1,label,DB1,512,7,precomp,0.005,0,0,0,false
UC1,label,DB1,512,7,setup,12.877,5514264,0,0,false
UC1,label,DB1,512,7,encrypt,20.484,6055960,0,0,false
UC1,label,DB1,512,7,eval,2.045,20216280,0,0,false
UC1,label,DB1,512,7,decrypt,3.900,3418248,1048576,1,true
UC1,std,DB1,512,8,precomp,0.004,0,0,0,false
UC1,std,DB1,512,8,setup,13.824,9996152,0,0,false
UC1,std,DB1,512,8,encrypt,18.528,7257200,0,0,false
UC1,std,DB1,512,8,eval,1.731,20085728,0,0,false
UC1,std,DB1,512,8,decrypt,5.836,1186720,2097152,1,true
UC1,label,DB1,512,8,precomp,0.004,0,0,0,false
UC1,label,DB1,512,8,setup,12.314,9996136,0,0,false
UC1,label,DB1,512,8,encrypt,19.097,6055960,0,0,false
UC1,label,DB1,512,8,eval,1.317,20216280,0,0,false
UC1,label,DB1,512,8,decrypt,3.045,3418024,1048576,1,true
UC1,std,DB1,512,9,precomp,0.003,0,0,0,false
UC1,std,DB1,512,9,setup,11.448,10013392,0,0,false
UC1,std,DB1,512,9,encrypt,15.101,7257200,0,0,false
UC1,std,DB1,512,9,eval,1.551,20070144,0,0,false
UC1,std,DB1,512,9,decrypt,4.728,1185936,2097152,1,true
UC1,label,DB1,512,9,precomp,0.001,0,0,0,false
UC1,label,DB1,512,9,setup,13.873,10013392,0,0,false
UC1,label,DB1,512,9,encrypt,20.141,11306696,0,0,false
UC1,label,DB1,512,9,eval,2.025,20216280,0,0,false
UC1,label,DB1,512,9,decrypt,3.429,3417800,1048576,1,true
UC1,std,DB1,512,10,precomp,0.001,0,0,0,false
UC1,std,DB1,512,10,setup,12.032,9996152,0,0,false
UC1,std,DB1,512,10,encrypt,15.847,7256992,0,0,false
UC1,std,DB1,512,10,eval,1.496,20085616,0,0,false
UC1,std,DB1,512,10,decrypt,3.988,1185728,2097152,1,true
UC1,label,DB1,512,10,precomp,0.002,0,0,0,false
UC1,label,DB1,512,10,setup,12.561,5511496,0,0,false
UC1,label,DB1,512,10,encrypt,18.079,11306808,0,0,false
UC1,label,DB1,512,10,eval,2.221,20216280,0,0,false
UC1,label,DB1,512,10,decrypt,3.862,3418248,1048576,1,true
UC1,std,DB1,512,11,precomp,0.003,0,0,0,false
